"trial_type","trial_index","time_elapsed","internal_node_id","selected_option","is_city","stimulus","response","rt","correct","difficulty_before","difficulty_after","duration","gradcpt_run","song_name","modulation_depth","modulation_frequency"
"gradcpt","2","11693","0.0-1.0-5.0-0.0","","false","SS9.jpg","null","null","true","0","0","802","1","Adele: Hello","0.25","10"
"gradcpt","2","12493","0.0-1.0-5.0-0.0","","false","mountain_9.jpg","null","null","true","0","0","802.0000000000018","1","Adele: Hello","0.25","10"
"gradcpt","2","13295","0.0-1.0-5.0-0.0","","true","city_2.jpg","null","null","false","0","0","804","1","Adele: Hello","0.25","10"
"gradcpt","2","14094","0.0-1.0-5.0-0.0","","true","city_6.jpg","space","510","true","0","0","804","1","Adele: Hello","0.25","10"
"gradcpt","2","14894","0.0-1.0-5.0-0.0","","true","city_7.jpg","space","316","true","0","0","804","1","Adele: Hello","0.25","10"
"gradcpt","2","15694","0.0-1.0-5.0-0.0","","true","city_3.jpg","space","508","true","0","1","803","1","Adele: Hello","0.25","10"
"gradcpt","2","16494","0.0-1.0-5.0-0.0","","false","mountain_10.jpg","space","454","false","1","0","804","1","Adele: Hello","0.25","10"
"gradcpt","2","17294","0.0-1.0-5.0-0.0","","true","city_4.jpg","space","548","true","0","0","804","1","Adele: Hello","0.25","10"
"gradcpt","2","18096","0.0-1.0-5.0-0.0","","true","city_3.jpg","space","454","true","0","0","805","1","Adele: Hello","0.25","10"
"gradcpt","2","18893","0.0-1.0-5.0-0.0","","true","city_10.jpg","space","320.00000000000364","true","0","1","803","1","Adele: Hello","0.25","10"
"gradcpt","2","19693","0.0-1.0-5.0-0.0","","true","city_2.jpg","space","273","true","1","1","803","1","Adele: Hello","0.25","10"
"gradcpt","2","20496","0.0-1.0-5.0-0.0","","true","city_6.jpg","space","76","true","1","1","806","1","Adele: Hello","0.25","10"
"gradcpt","2","21293","0.0-1.0-5.0-0.0","","true","city_10.jpg","space","485","true","1","2","803","1","Adele: Hello","0.25","10"
"gradcpt","2","22094","0.0-1.0-5.0-0.0","","true","city_1.jpg","space","295","true","2","2","804","1","Adele: Hello","0.25","10"
"gradcpt","2","22896","0.0-1.0-5.0-0.0","","true","city_4.jpg","space","139","true","2","2","806","1","Adele: Hello","0.25","10"
"gradcpt","2","23696","0.0-1.0-5.0-0.0","","true","city_7.jpg","space","706.0000000000036","true","2","3","805.0000000000036","1","Adele: Hello","0.25","10"
"gradcpt","2","24495","0.0-1.0-5.0-0.0","","true","city_8.jpg","space","505.00000000000364","true","3","3","805","1","Adele: Hello","0.25","10"
"gradcpt","2","25293","0.0-1.0-5.0-0.0","","true","city_7.jpg","space","349","true","3","3","803","1","Adele: Hello","0.25","10"
"gradcpt","2","26093","0.0-1.0-5.0-0.0","","true","city_6.jpg","space","190","true","3","4","803.0000000000036","1","Adele: Hello","0.25","10"
"gradcpt","2","26894","0.0-1.0-5.0-0.0","","true","city_2.jpg","space","7","true","4","4","803","1","Adele: Hello","0.25","10"
"gradcpt","2","27693","0.0-1.0-5.0-0.0","","true","city_1.jpg","null","null","false","4","3","802.0000000000036","1","Adele: Hello","0.25","10"
